,Population Forecast,yhat_lower,yhat_upper,Type,Region,Year
151,656785.5721728523,653637.6015349812,659883.0367319197,Historical,Западно-Казахстанская,2020
152,667497.3527984315,664531.5836007235,670615.7748066289,Historical,Западно-Казахстанская,2021
153,678179.8662638313,674914.9576504338,681233.5430178818,Historical,Западно-Казахстанская,2022
154,688862.3797292311,685358.6395579198,691792.2364027663,Historical,Западно-Казахстанская,2023
155,699515.6260344519,696129.194129229,702646.1016863949,Forecast,Западно-Казахстанская,2023
156,710227.4066600308,706683.8905402854,713796.2752770114,Forecast,Западно-Казахстанская,2024
157,720909.9201254309,716484.406141434,725662.6022401679,Forecast,Западно-Казахстанская,2025
158,731592.4335908307,725465.9338705626,738247.4243954398,Forecast,Западно-Казахстанская,2026
159,742274.9470562305,733504.0200952468,750959.8384693103,Forecast,Западно-Казахстанская,2027
160,1428500.7555,1340286.7350230308,1521305.6494524148,Historical,Карагандинская,2013
161,1409362.9201911008,1313901.0515510312,1501000.933457811,Historical,Карагандинская,2014
162,1390225.0848924674,1299633.1480184381,1485707.9181164328,Historical,Карагандинская,2015
163,1371087.24910027,1279978.7205084495,1462528.5762674878,Historical,Карагандинская,2016
164,1351896.98032669,1260041.273369997,1439603.9135652722,Historical,Карагандинская,2017
165,1332759.1439614543,1240258.6699580606,1425028.3450387728,Historical,Карагандинская,2018
166,1313600.6946386972,1219639.9725296013,1402915.8959451702,Historical,Карагандинская,2019
167,1294442.202978217,1204938.2535881132,1382384.2443881345,Historical,Карагандинская,2020
168,1275231.2220435024,1184828.904028831,1360890.9536094537,Historical,Карагандинская,2021
169,1256072.730127735,1164113.3598892414,1352259.752068037,Historical,Карагандинская,2022
170,1236914.2382119677,1147782.2022203004,1330619.670463672,Historical,Карагандинская,2023
171,1217808.2353151476,1124352.7812953857,1318470.997347543,Forecast,Карагандинская,2023
172,1198597.254380433,1111631.2710521093,1288162.6045299612,Forecast,Карагандинская,2024
173,1179438.7624646656,1083982.2103508664,1278922.4342780109,Forecast,Карагандинская,2025
174,1160280.2705488983,1074499.754013901,1258504.4154511995,Forecast,Карагандинская,2026
175,1141121.778633131,1049116.2766580128,1229266.2982334183,Forecast,Карагандинская,2027
176,880767.474972,876537.3512328797,885096.4874339475,Historical,Костанайская,2013
177,881270.188531817,877135.641729131,885417.8673251191,Historical,Костанайская,2014
178,881772.9014242376,877494.5281899198,886389.2881729571,Historical,Костанайская,2015
179,882275.614619371,877727.3981711015,886610.7737984596,Historical,Костанайская,2016
180,879207.3391395786,874583.0290330321,883486.5380334078,Historical,Костанайская,2017
181,876118.5483406312,872020.2429265257,880723.646674871,Historical,Костанайская,2018
182,872991.189230388,868907.929202373,877550.7788625545,Historical,Костанайская,2019
183,869843.1074746399,865544.2173766579,874425.7869060644,Historical,Костанайская,2020
184,856698.9506503571,852784.3237054116,861341.7943752,Historical,Костанайская,2021
185,843590.7068228619,838931.5054539752,847844.575407743,Historical,Костанайская,2022
186,830482.4629953667,825795.3994952906,834951.8810555697,Historical,Костанайская,2023
187,817410.1321646591,812941.4217021681,822159.8362206646,Forecast,Костанайская,2023
188,804265.9753403763,797768.8311462442,810621.3709965702,Forecast,Костанайская,2024
189,791157.7315128811,782277.0359623161,800460.0192564871,Forecast,Костанайская,2025
190,778049.487685386,764495.2756221645,791057.0369458338,Forecast,Костанайская,2026
191,764941.2438578907,745574.3442235865,782427.6272539444,Forecast,Костанайская,2027
192,726670.804562,726295.9875286424,727061.1743807741,Historical,Кызылординская,2013
193,739788.8540936538,739433.210883848,740156.5767018883,Historical,Кызылординская,2014
194,752958.7607482207,752591.4172937127,753358.634910912,Historical,Кызылординская,2015
195,765015.8661939146,764644.989333221,765396.8492650298,Historical,Кызылординская,2016
196,773184.6889452856,772810.9588881764,773558.9713548963,Historical,Кызылординская,2017
197,783198.789823517,782838.8694387509,783569.990711567,Historical,Кызылординская,2018
198,794250.6697320244,793865.5428971447,794615.5571470392,Historical,Кызылординская,2019
199,803925.8543356435,803576.718848469,804306.5234645786,Historical,Кызылординская,2020
200,813834.9672619974,813495.4539269245,814224.7979967342,Historical,Кызылординская,2021
201,823717.0061093174,823331.5142038278,824104.6309577151,Historical,Кызылординская,2022
202,833599.0449566374,833214.1286894912,833953.2752115325,Historical,Кызылординская,2023
203,843454.0097249238,842568.0812773855,844383.6367564569,Forecast,Кызылординская,2023
204,853363.1226512775,850698.7957161632,856087.9297914223,Forecast,Кызылординская,2024
205,863245.1614985976,858259.3391195717,868651.9811479611,Forecast,Кызылординская,2025
